metric,validation_mode,level,ticker,strategy,windows,wins,win_rate_pct,average_metric
return_on_contributed_pct,true_weekly_contribution,ticker,AAPL,fixed_weekly_dca,39,26,66.67,16.9028
return_on_contributed_pct,true_weekly_contribution,ticker,AAPL,simple_dip_buy,39,11,28.21,16.7497
return_on_contributed_pct,true_weekly_contribution,ticker,AAPL,risk_adjusted_v2,39,2,5.13,16.8605
return_on_contributed_pct,true_weekly_contribution,ticker,ASML,fixed_weekly_dca,39,17,43.59,21.6603
return_on_contributed_pct,true_weekly_contribution,ticker,ASML,simple_dip_buy,39,21,53.85,21.3567
return_on_contributed_pct,true_weekly_contribution,ticker,ASML,risk_adjusted_v2,39,1,2.56,21.0638
return_on_contributed_pct,true_weekly_contribution,ticker,BYDDY,fixed_weekly_dca,39,4,10.26,9.1395
return_on_contributed_pct,true_weekly_contribution,ticker,BYDDY,simple_dip_buy,39,23,58.97,9.3592
return_on_contributed_pct,true_weekly_contribution,ticker,BYDDY,risk_adjusted_v2,39,12,30.77,9.3597
return_on_contributed_pct,true_weekly_contribution,ticker,KO,fixed_weekly_dca,39,22,56.41,6.3992
return_on_contributed_pct,true_weekly_contribution,ticker,KO,simple_dip_buy,39,18,46.15,6.3797
return_on_contributed_pct,true_weekly_contribution,ticker,KO,risk_adjusted_v2,39,4,10.26,6.3879
return_on_contributed_pct,true_weekly_contribution,ticker,MSFT,fixed_weekly_dca,39,21,53.85,14.12
return_on_contributed_pct,true_weekly_contribution,ticker,MSFT,simple_dip_buy,39,11,28.21,13.8849
return_on_contributed_pct,true_weekly_contribution,ticker,MSFT,risk_adjusted_v2,39,8,20.51,14.0777
return_on_contributed_pct,true_weekly_contribution,ticker,NVDA,fixed_weekly_dca,39,34,87.18,119.0364
return_on_contributed_pct,true_weekly_contribution,ticker,NVDA,simple_dip_buy,39,3,7.69,110.84
return_on_contributed_pct,true_weekly_contribution,ticker,NVDA,risk_adjusted_v2,39,2,5.13,105.9792
return_on_contributed_pct,true_weekly_contribution,portfolio,all_symbols,fixed_weekly_dca,39,32,82.05,31.2108
return_on_contributed_pct,true_weekly_contribution,portfolio,all_symbols,simple_dip_buy,39,6,15.38,29.7621
return_on_contributed_pct,true_weekly_contribution,portfolio,all_symbols,risk_adjusted_v2,39,1,2.56,28.9554
calmar_ratio,true_weekly_contribution,ticker,AAPL,fixed_weekly_dca,39,2,5.13,1.3716
calmar_ratio,true_weekly_contribution,ticker,AAPL,simple_dip_buy,39,36,92.31,1.4122
calmar_ratio,true_weekly_contribution,ticker,AAPL,risk_adjusted_v2,39,1,2.56,1.3763
calmar_ratio,true_weekly_contribution,ticker,ASML,fixed_weekly_dca,39,4,10.26,1.1944
calmar_ratio,true_weekly_contribution,ticker,ASML,simple_dip_buy,39,29,74.36,1.2131
calmar_ratio,true_weekly_contribution,ticker,ASML,risk_adjusted_v2,39,7,17.95,1.2246
calmar_ratio,true_weekly_contribution,ticker,BYDDY,fixed_weekly_dca,39,4,10.26,0.3471
calmar_ratio,true_weekly_contribution,ticker,BYDDY,simple_dip_buy,39,27,69.23,0.3651
calmar_ratio,true_weekly_contribution,ticker,BYDDY,risk_adjusted_v2,39,10,25.64,0.3463
calmar_ratio,true_weekly_contribution,ticker,KO,fixed_weekly_dca,39,7,17.95,3.201
calmar_ratio,true_weekly_contribution,ticker,KO,simple_dip_buy,39,35,89.74,3.8243
calmar_ratio,true_weekly_contribution,ticker,KO,risk_adjusted_v2,39,0,0.0,3.2683
calmar_ratio,true_weekly_contribution,ticker,MSFT,fixed_weekly_dca,39,4,10.26,1.9678
calmar_ratio,true_weekly_contribution,ticker,MSFT,simple_dip_buy,39,32,82.05,2.0388
calmar_ratio,true_weekly_contribution,ticker,MSFT,risk_adjusted_v2,39,3,7.69,1.9714
calmar_ratio,true_weekly_contribution,ticker,NVDA,fixed_weekly_dca,39,19,48.72,3.1859
calmar_ratio,true_weekly_contribution,ticker,NVDA,simple_dip_buy,39,12,30.77,3.1934
calmar_ratio,true_weekly_contribution,ticker,NVDA,risk_adjusted_v2,39,10,25.64,3.3119
calmar_ratio,true_weekly_contribution,portfolio,all_symbols,fixed_weekly_dca,39,9,23.08,3.0927
calmar_ratio,true_weekly_contribution,portfolio,all_symbols,simple_dip_buy,39,27,69.23,3.2181
calmar_ratio,true_weekly_contribution,portfolio,all_symbols,risk_adjusted_v2,39,3,7.69,3.1607
